date,closing_price
2022/12/01,194.6999969
2022/12/02,194.8600006
2022/12/05,182.4499969
2022/12/06,179.8200073
2022/12/07,174.0399933
2022/12/08,173.4400024
2022/12/09,179.0500031
2022/12/12,167.8200073
2022/12/13,160.9499969
2022/12/14,156.8000031
2022/12/15,157.6699982
2022/12/16,150.2299957
2022/12/19,149.8699951
2022/12/20,137.8000031
2022/12/21,137.5700073
2022/12/22,125.3499985
2022/12/23,123.1500015
2022/12/27,109.0999985
2022/12/28,112.7099991
2022/12/29,121.8199997
2022/12/30,123.1800003
2023/01/03,108.0999985
2023/01/04,113.6399994
2023/01/05,110.3399963
2023/01/06,113.0599976
2023/01/09,119.7699966
2023/01/10,118.8499985
2023/01/11,123.2200012
2023/01/12,123.5599976
2023/01/13,122.4000015
2023/01/17,131.4900055
2023/01/18,128.7799988
2023/01/19,127.1699982
2023/01/20,133.4199982
2023/01/23,143.75
2023/01/24,143.8899994
2023/01/25,144.4299927
2023/01/26,160.2700043
2023/01/27,177.8999939
2023/01/30,166.6600037
2023/01/31,173.2200012
2023/02/01,181.4100037
2023/02/02,188.2700043
2023/02/03,189.9799957
2023/02/06,194.7599945
2023/02/07,196.8099976
2023/02/08,201.2899933
2023/02/09,207.3200073
2023/02/10,196.8899994
2023/02/13,194.6399994
2023/02/14,209.25
2023/02/15,214.2400055
2023/02/16,202.0399933
2023/02/17,208.3099976
2023/02/21,197.3699951
2023/02/22,200.8600006
2023/02/23,202.0700073
2023/02/24,196.8800049
2023/02/27,207.6300049
2023/02/28,205.7100067
2023/03/01,202.7700043
2023/03/02,190.8999939
2023/03/03,197.7899933
2023/03/06,193.8099976
2023/03/07,187.7100067
2023/03/08,182
2023/03/09,172.9199982
2023/03/10,173.4400024
2023/03/13,174.4799957
2023/03/14,183.2599945
2023/03/15,180.4499969
2023/03/16,184.1300049
2023/03/17,180.1300049
2023/03/20,183.25
2023/03/21,197.5800018
2023/03/22,191.1499939
2023/03/23,192.2200012
2023/03/24,190.4100037
2023/03/27,191.8099976
2023/03/28,189.1900024
2023/03/29,193.8800049
2023/03/30,195.2799988
2023/03/31,207.4600067
2023/04/03,194.7700043
2023/04/04,192.5800018
2023/04/05,185.5200043
2023/04/06,185.0599976
2023/04/10,184.5099945
2023/04/11,186.7899933
2023/04/12,180.5399933
2023/04/13,185.8999939
2023/04/14,185
2023/04/17,187.0399933
2023/04/18,184.3099976
2023/04/19,180.5899963
2023/04/20,162.9900055
2023/04/21,165.0800018
2023/04/24,162.5500031
2023/04/25,160.6699982
2023/04/26,153.75
2023/04/27,160.1900024
2023/04/28,164.3099976
2023/05/01,161.8300018
2023/05/02,160.3099976
2023/05/03,160.6100006
2023/05/04,161.1999969
2023/05/05,170.0599976
2023/05/08,171.7899933
2023/05/09,169.1499939
2023/05/10,168.5399933
2023/05/11,172.0800018
2023/05/12,167.9799957
2023/05/15,166.3500061
2023/05/16,166.5200043
2023/05/17,173.8600006
2023/05/18,176.8899994
