date,closing_price
2023/01/01,82
2023/01/02,85
2023/01/03,72
2023/01/04,125
2023/01/05,105
2023/01/06,110
2023/01/07,78
2023/01/08,115
2023/01/09,108
2023/01/10,90
2023/01/11,112
2023/01/12,90
2023/01/13,85
2023/01/14,82
2023/01/15,105
2023/01/16,115
2023/01/17,75
2023/01/18,70
2023/01/19,110
2023/01/20,70
2023/01/21,118
2023/01/22,118
2023/01/23,105
2023/01/24,112
2023/01/25,115
2023/01/26,98
2023/01/27,98
2023/01/28,92
2023/01/29,112
2023/01/30,120
2023/01/31,72
2023/02/01,105
2023/02/02,82
2023/02/03,70
2023/02/04,95
2023/02/05,110
2023/02/06,92
2023/02/07,82
2023/02/08,130
2023/02/09,110
2023/02/10,82
2023/02/11,115
2023/02/12,122
2023/02/13,78
2023/02/14,98
2023/02/15,102
2023/02/16,128
2023/02/17,82
2023/02/18,95
2023/02/19,120
2023/02/20,112
2023/02/21,105
2023/02/22,122
2023/02/23,120
2023/02/24,120
2023/02/25,118
2023/02/26,98
2023/02/27,122
2023/02/28,80
2023/03/01,110
2023/03/02,112
2023/03/03,85
2023/03/04,90
2023/03/05,112
2023/03/06,125
2023/03/07,105
2023/03/08,115
2023/03/09,115
2023/03/10,128
2023/03/11,78
2023/03/12,125
2023/03/13,78
2023/03/14,82
2023/03/15,105
2023/03/16,115
2023/03/17,95
2023/03/18,120
2023/03/19,122
2023/03/20,110
2023/03/21,105
2023/03/22,128
2023/03/23,98
2023/03/24,92
2023/03/25,98
2023/03/26,80
2023/03/27,110
2023/03/28,115
2023/03/29,98
2023/03/30,112
2023/03/31,78
2023/04/01,118
2023/04/02,80
2023/04/03,130
2023/04/04,102
2023/04/05,78
2023/04/06,78
2023/04/07,125
2023/04/08,110
2023/04/09,118
2023/04/10,82
2023/04/11,115
2023/04/12,90
2023/04/13,96
2023/04/14,125
2023/04/15,75
2023/04/16,112
2023/04/17,72
2023/04/18,115
2023/04/19,105
2023/04/20,122
2023/04/21,122
2023/04/22,105
2023/04/23,120
2023/04/24,82
2023/04/25,92
2023/04/26,130
2023/04/27,85
2023/04/28,85
2023/04/29,125
2023/04/30,95
2023/05/01,125
2023/05/02,98
2023/05/03,112
2023/05/04,112
2023/05/05,112
2023/05/06,120
2023/05/07,108
2023/05/08,75
2023/05/09,122
2023/05/10,75
2023/05/11,80
2023/05/12,95
2023/05/13,122
2023/05/14,120
2023/05/15,130
2023/05/16,125
2023/05/17,98
2023/05/18,120
2023/05/19,112
2023/05/20,118
2023/05/21,105
2023/05/22,110
2023/05/23,130
2023/05/24,110
2023/05/25,115
2023/05/26,95
2023/05/27,115
2023/05/28,110
2023/05/29,96
2023/05/30,110
2023/05/31,105
2023/06/01,98
2023/06/02,115
2023/06/03,90
2023/06/04,112
2023/06/05,115
2023/06/06,98
2023/06/07,95
