date,closing_price
2023/01/01,100
2023/01/02,110
2023/01/03,102
2023/01/04,110
2023/01/05,110
2023/01/06,100
2023/01/07,106
2023/01/08,90
2023/01/09,120
2023/01/10,110
2023/01/11,117
2023/01/12,105
2023/01/13,115
2023/01/14,110
2023/01/15,115
2023/01/16,105
2023/01/17,110
2023/01/18,105
2023/01/19,116
2023/01/20,120
2023/01/21,130
2023/01/22,135
2023/01/23,125
2023/01/24,120
2023/01/25,115
2023/01/26,115
2023/01/27,105
2023/01/28,100
2023/01/29,90
2023/01/30,100
2023/01/31,120
2023/02/01,110
2023/02/02,120
2023/02/03,110
2023/02/04,105
2023/02/05,115
2023/02/06,105
2023/02/07,110
2023/02/08,115
2023/02/09,120
2023/02/10,123
2023/02/11,130
2023/02/12,125
2023/02/13,115
2023/02/14,120
2023/02/15,115
2023/02/16,110
2023/02/17,105
2023/02/18,100
2023/02/19,110
2023/02/20,105
2023/02/21,100
2023/02/22,95
2023/02/23,100
2023/02/24,105
2023/02/25,110
2023/02/26,115
2023/02/27,110
2023/02/28,105
2023/03/01,100
2023/03/02,95
2023/03/03,110
2023/03/04,105
2023/03/05,115
2023/03/06,125
2023/03/07,100
2023/03/08,98
2023/03/09,105
2023/03/10,112
2023/03/11,120
2023/03/12,118
2023/03/13,108
2023/03/14,130
2023/03/15,115
2023/03/16,122
2023/03/17,92
2023/03/18,105
2023/03/19,110
2023/03/20,118
2023/03/21,115
2023/03/22,128
2023/03/23,102
2023/03/24,108
2023/03/25,125
2023/03/26,105
2023/03/27,112
2023/03/28,118
2023/03/29,122
2023/03/30,128
2023/03/31,98
2023/04/01,115
2023/04/02,125
2023/04/03,90
2023/04/04,105
2023/04/05,108
2023/04/06,115
2023/04/07,100
2023/04/08,112
2023/04/09,95
2023/04/10,120
2023/04/11,110
2023/04/12,118
2023/04/13,102
2023/04/14,105
2023/04/15,112
2023/04/16,130
2023/04/17,98
2023/04/18,100
2023/04/19,125
2023/04/20,105
2023/04/21,115
2023/04/22,102
2023/04/23,95
2023/04/24,110
2023/04/25,130
2023/04/26,118
2023/04/27,120
2023/04/28,122
2023/04/29,100
2023/04/30,112
2023/05/01,105
2023/05/02,115
2023/05/03,120
2023/05/04,110
2023/05/05,118
2023/05/06,135
2023/05/07,95
2023/05/08,140
2023/05/09,145
2023/05/10,80
2023/05/11,130
2023/05/12,150
2023/05/13,140
2023/05/14,130
2023/05/15,145
2023/05/16,90
2023/05/17,85
2023/05/18,95
2023/05/19,70
2023/05/20,75
2023/05/21,80
2023/05/22,88
2023/05/23,85
2023/05/24,82
2023/05/25,78
2023/05/26,125
2023/05/27,130
2023/05/28,72
2023/05/29,118
2023/05/30,75
2023/05/31,77
2023/06/01,68
2023/06/02,90
2023/06/03,100
2023/06/04,78
2023/06/05,110
2023/06/06,82
2023/06/07,85
2023/06/08,105
2023/06/09,72
2023/06/10,80
2023/06/11,92
2023/06/12,95
2023/06/13,108
2023/06/14,113
2023/06/15,120
2023/06/16,122
2023/06/17,115
2023/06/18,98
2023/06/19,94
2023/06/20,87
2023/06/21,76
2023/06/22,105
2023/06/23,88
2023/06/24,82
2023/06/25,70
2023/06/26,93
2023/06/27,110
2023/06/28,96
2023/06/29,98
2023/06/30,112
2023/07/01,92
2023/07/02,80
2023/07/03,85
2023/07/04,110
2023/07/05,78
2023/07/06,115
2023/07/07,125
2023/07/08,68
2023/07/09,98
2023/07/10,85
2023/07/11,92
2023/07/12,115
2023/07/13,118
2023/07/14,108
2023/07/15,130
2023/07/16,115
2023/07/17,122
2023/07/18,82
2023/07/19,95
2023/07/20,100
2023/07/21,118
2023/07/22,115
2023/07/23,128
2023/07/24,72
2023/07/25,108
2023/07/26,125
2023/07/27,98
2023/07/28,112
2023/07/29,118
2023/07/30,122
2023/07/31,128
2023/08/01,68
2023/08/02,115
2023/08/03,125
2023/08/04,90
2023/08/05,105
2023/08/06,108
2023/08/07,115
2023/08/08,100
2023/08/09,112
2023/08/10,95
2023/08/11,120
2023/08/12,110
2023/08/13,118
2023/08/14,102
2023/08/15,105
2023/08/16,112
2023/08/17,130
2023/08/18,98
2023/08/19,100
2023/08/20,125
2023/08/21,105
2023/08/22,115
2023/08/23,102
2023/08/24,95
2023/08/25,110
2023/08/26,130
2023/08/27,118
2023/08/28,120
2023/08/29,122
2023/08/30,100
2023/08/31,112
2023/09/01,105
2023/09/02,115
2023/09/03,120
2023/09/04,110
2023/09/05,118
2023/09/06,138
2023/09/07,98
2023/09/08,148
2023/09/09,155
2023/09/10,82
2023/09/11,137
2023/09/12,155
2023/09/13,150
2023/09/14,128
2023/09/15,155
2023/09/16,85
2023/09/17,80
2023/09/18,105
2023/09/19,120
2023/09/20,75
2023/09/21,78
2023/09/22,98
2023/09/23,80
2023/09/24,85
2023/09/25,78
2023/09/26,125
2023/09/27,140
2023/09/28,70
2023/09/29,118
2023/09/30,75
2023/10/01,77
2023/10/02,68
2023/10/03,92
2023/10/04,105
2023/10/05,78
2023/10/06,115
2023/10/07,82
2023/10/08,85
2023/10/09,108
2023/10/10,72
2023/10/11,80
2023/10/12,92
2023/10/13,95
2023/10/14,108
2023/10/15,113
2023/10/16,120
2023/10/17,122
2023/10/18,115
2023/10/19,98
2023/10/20,94
2023/10/21,87
2023/10/22,76
2023/10/23,105
2023/10/24,88
2023/10/25,82
2023/10/26,70
2023/10/27,93
2023/10/28,110
2023/10/29,96
2023/10/30,98
2023/10/31,112
2023/11/01,92
2023/11/02,80
2023/11/03,85
2023/11/04,110
2023/11/05,78
2023/11/06,115
2023/11/07,125
2023/11/08,68
2023/11/09,98
2023/11/10,85
2023/11/11,92
2023/11/12,115
2023/11/13,118
2023/11/14,108
2023/11/15,130
2023/11/16,115
2023/11/17,122
2023/11/18,82
2023/11/19,95
2023/11/20,100
2023/11/21,118
2023/11/22,115
2023/11/23,128
2023/11/24,72
2023/11/25,108
2023/11/26,125
2023/11/27,98
2023/11/28,112
2023/11/29,118
2023/11/30,122
2023/12/01,128
2023/12/02,68
2023/12/03,115
2023/12/04,125
2023/12/05,90
2023/12/06,105
2023/12/07,108
2023/12/08,115
2023/12/09,100
2023/12/10,112
2023/12/11,95
2023/12/12,120
2023/12/13,110
2023/12/14,118
2023/12/15,102
2023/12/16,105
2023/12/17,112
2023/12/18,130
2023/12/19,98
2023/12/20,100
2023/12/21,125
2023/12/22,105
2023/12/23,115
2023/12/24,102
2023/12/25,95
2023/12/26,110
2023/12/27,130
2023/12/28,118
2023/12/29,120
2023/12/30,122
2023/12/31,100
2024/01/01,112
2024/01/02,105
2024/01/03,115
2024/01/04,120
